type,spec_version,id,created_by_ref,created,modified,name,description,external_references,object_marking_refs,x_mitre_attack_spec_version,x_mitre_domains,x_mitre_modified_by_ref,x_mitre_version,x_mitre_aliases,x_mitre_deprecated,x_mitre_contributors,x_mitre_platforms,is_family
tool,2.1,tool--102c3898-85e0-43ee-ae28-62a0a3ed9507,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:33:09.047Z,2022-04-25T14:00:00.188Z,UACMe,[UACMe](https://attack.mitre.org/software/S0116) is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system. (Citation: Github UACMe),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0116', 'external_id': 'S0116'}, {'source_name': 'Github UACMe', 'description': 'UACME Project. (2016, June 16). UACMe. Retrieved July 26, 2016.', 'url': 'https://github.com/hfiref0x/UACME'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.0,,,,,
tool,2.1,tool--294e2560-bd48-44b2-9da2-833b5588ad11,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:33:02.863Z,2022-10-12T21:28:49.335Z,ipconfig,"[ipconfig](https://attack.mitre.org/software/S0100) is a Windows utility that can be used to find information about a system's TCP/IP, DNS, DHCP, and adapter configuration. (Citation: TechNet Ipconfig)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0100', 'external_id': 'S0100'}, {'source_name': 'TechNet Ipconfig', 'description': 'Microsoft. (n.d.). Ipconfig. Retrieved April 17, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490921.aspx'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.1,['ipconfig'],False,,,
tool,2.1,tool--26c87906-d750-42c5-946c-d4162c73fc7b,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2019-01-31T01:39:56.283Z,2024-10-07T19:08:53.273Z,Impacket,"[Impacket](https://attack.mitre.org/software/S0357) is an open source collection of modules written in Python for programmatically constructing and manipulating network protocols. [Impacket](https://attack.mitre.org/software/S0357) contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks.(Citation: Impacket Tools)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0357', 'external_id': 'S0357'}, {'source_name': 'Impacket Tools', 'description': 'SecureAuth. (n.d.).  Retrieved January 15, 2019.', 'url': 'https://www.secureauth.com/labs/open-source-tools/impacket'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.7,['Impacket'],False,"['Jacob Wilkin, Trustwave, SpiderLabs']","['Linux', 'macOS', 'Windows']",
tool,2.1,tool--242f3da3-4425-4d11-8f5c-b842886da966,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:32:12.684Z,2024-09-12T15:17:22.004Z,Windows Credential Editor,[Windows Credential Editor](https://attack.mitre.org/software/S0005) is a password dumping tool. (Citation: Amplia WCE),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0005', 'external_id': 'S0005'}, {'source_name': 'Amplia WCE', 'description': 'Amplia Security. (n.d.). Windows Credentials Editor (WCE) F.A.Q.. Retrieved September 12, 2024.', 'url': 'https://web.archive.org/web/20240904163410/https://www.ampliasecurity.com/research/wcefaq.html'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.1,"['Windows Credential Editor', 'WCE']",False,,['Windows'],
tool,2.1,tool--1b3b8f96-43b1-4460-8e02-1f53d7802fb9,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2023-09-28T13:21:49.652Z,2023-10-19T12:18:43.123Z,Pacu,Pacu is an open-source AWS exploitation framework. The tool is written in Python and publicly available on GitHub.(Citation: GitHub Pacu),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S1091', 'external_id': 'S1091'}, {'source_name': 'GitHub Pacu', 'description': 'Rhino Security Labs. (2019, August 22). Pacu. Retrieved October 17, 2019.', 'url': 'https://github.com/RhinoSecurityLabs/pacu'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.0,['Pacu'],False,"['Thanabodi Phrakhun, @naikordian']",['IaaS'],
tool,2.1,tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2018-04-18T17:59:24.739Z,2023-08-17T19:50:17.832Z,PowerSploit,"[PowerSploit](https://attack.mitre.org/software/S0194) is an open source, offensive security framework comprised of [PowerShell](https://attack.mitre.org/techniques/T1059/001) modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration. (Citation: GitHub PowerSploit May 2012) (Citation: PowerShellMagazine PowerSploit July 2014) (Citation: PowerSploit Documentation)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0194', 'external_id': 'S0194'}, {'source_name': 'PowerShellMagazine PowerSploit July 2014', 'description': 'Graeber, M. (2014, July 8). PowerSploit. Retrieved February 6, 2018.', 'url': 'http://www.powershellmagazine.com/2014/07/08/powersploit/'}, {'source_name': 'GitHub PowerSploit May 2012', 'description': 'PowerShellMafia. (2012, May 26). PowerSploit - A PowerShell Post-Exploitation Framework. Retrieved February 6, 2018.', 'url': 'https://github.com/PowerShellMafia/PowerSploit'}, {'source_name': 'PowerSploit Documentation', 'description': 'PowerSploit. (n.d.). PowerSploit. Retrieved February 6, 2018.', 'url': 'http://powersploit.readthedocs.io'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.6,['PowerSploit'],False,,['Windows'],
tool,2.1,tool--1244e058-fa10-48cb-b484-0bcf671107ae,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2022-03-23T19:34:30.486Z,2024-09-23T14:18:53.140Z,SILENTTRINITY,"[SILENTTRINITY](https://attack.mitre.org/software/S0692) is an open source remote administration and post-exploitation framework primarily written in Python that includes stagers written in Powershell, C, and Boo. [SILENTTRINITY](https://attack.mitre.org/software/S0692) was used in a 2019 campaign against Croatian government agencies by unidentified cyber actors.(Citation: GitHub SILENTTRINITY March 2022)(Citation: Security Affairs SILENTTRINITY July 2019)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0692', 'external_id': 'S0692'}, {'source_name': 'SILENTTRINITY', 'description': '(Citation: GitHub SILENTTRINITY March 2022)'}, {'source_name': 'Security Affairs SILENTTRINITY July 2019', 'description': 'Paganini, P. (2019, July 7). Croatia government agencies targeted with news SilentTrinity malware. Retrieved March 23, 2022.', 'url': 'https://securityaffairs.co/wordpress/88021/apt/croatia-government-silenttrinity-malware.html'}, {'source_name': 'GitHub SILENTTRINITY March 2022', 'description': 'Salvati, M (2019, August 6). SILENTTRINITY. Retrieved March 23, 2022.', 'url': 'https://github.com/byt3bl33d3r/SILENTTRINITY'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.1,['SILENTTRINITY'],False,"['Daniel Acevedo, Blackbot']",['Windows'],
tool,2.1,tool--11f8d7eb-1927-4806-9267-3a11d4d4d6be,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2021-07-30T15:43:17.770Z,2024-04-11T00:06:01.264Z,Sliver,"[Sliver](https://attack.mitre.org/software/S0633) is an open source, cross-platform, red team command and control framework written in Golang.(Citation: Bishop Fox Sliver Framework August 2019)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0633', 'external_id': 'S0633'}, {'source_name': 'Bishop Fox Sliver Framework August 2019', 'description': 'Kervella, R. (2019, August 4). Cross-platform General Purpose Implant Framework Written in Golang. Retrieved July 30, 2021.', 'url': 'https://labs.bishopfox.com/tech-blog/sliver'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],3.2.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.2,['Sliver'],False,"['Achute Sharma, Keysight', 'Ayan Saha, Keysight']","['Windows', 'Linux', 'macOS']",
tool,2.1,tool--115f88dd-0618-4389-83cb-98d33ae81848,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2020-05-12T21:29:48.294Z,2022-04-25T14:00:00.188Z,ShimRatReporter,"[ShimRatReporter](https://attack.mitre.org/software/S0445) is a tool used by suspected Chinese adversary [Mofang](https://attack.mitre.org/groups/G0103) to automatically conduct initial discovery. The details from this discovery are used to customize follow-on payloads (such as [ShimRat](https://attack.mitre.org/software/S0444)) as well as set up faux infrastructure which mimics the adversary's targets. [ShimRatReporter](https://attack.mitre.org/software/S0445) has been used in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development.(Citation: FOX-IT May 2016 Mofang)","[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0445', 'external_id': 'S0445'}, {'source_name': 'FOX-IT May 2016 Mofang', 'description': 'Yonathan Klijnsma. (2016, May 17). Mofang: A politically motivated information stealing adversary. Retrieved May 12, 2020.', 'url': 'https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.0,['ShimRatReporter'],,,['Windows'],
tool,2.1,tool--0c8465c0-d0b4-4670-992e-4eee8d7ff952,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,2017-05-31T21:33:06.824Z,2022-09-22T20:56:56.049Z,at,[at](https://attack.mitre.org/software/S0110) is used to schedule tasks on a system to run at a specified date or time.(Citation: TechNet At)(Citation: Linux at),"[{'source_name': 'mitre-attack', 'url': 'https://attack.mitre.org/software/S0110', 'external_id': 'S0110'}, {'source_name': 'Linux at', 'description': 'IEEE/The Open Group. (2017). at(1p) — Linux manual page. Retrieved February 25, 2022.', 'url': 'https://man7.org/linux/man-pages/man1/at.1p.html'}, {'source_name': 'TechNet At', 'description': 'Microsoft. (n.d.). At. Retrieved April 28, 2016.', 'url': 'https://technet.microsoft.com/en-us/library/bb490866.aspx'}]",['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],2.1.0,['enterprise-attack'],identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,1.3,"['at', 'at.exe']",False,,"['Linux', 'Windows', 'macOS']",
