id,technique_id,name,tactic,x_mitre_platforms,malware_tool_name,software_id,software_count,threat Name,group_id,group_count,campaign_name,campaign_id,campaign_count,Mitigation Count,Detection Count
attack-pattern--0af0ca99-357d-4ba1-805f-674fdfb7bef9,T1561.002,Disk Structure Wipe,['impact'],"['Linux', 'macOS', 'Windows', 'Network']",Shamoon;BFG Agonizer;HermeticWiper;RawDisk;WhisperGate;StoneDrill;KillDisk;ZeroCleare;CaddyWiper;DEADWOOD;MultiLayer Wiper,malware--8901ac23-6b50-410c-b0dd-d8174a86f9b3;malware--d6aefbbf-fbef-485a-973e-b5403d8f8b18;malware--a0ab8a96-40c9-4483-8a54-3fafa6d6007a;tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079;malware--49fee0b0-390e-4bde-97f8-97ed46bd19b7;malware--8dbadf80-468c-4a62-b817-4e4d8b606887;malware--e221eb77-1502-4129-af1d-fe1ad55e7ec6;malware--8d8518db-0f52-4f3c-8017-01389a8522bb;malware--b30d999d-64e0-4e35-9856-884e4b83d611;malware--f2e6af17-3828-4f10-88e7-343591618ddb;malware--663d7dee-5a47-459e-a5ef-e850a94a8ee5,11,Lazarus Group;APT38;Sandworm Team;APT37;Ember Bear,intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a;intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340;intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192;intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c;intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,5,HomeLand Justice,campaign--7e21077d-2589-43a7-a5f9-490061289526,1,1,5
attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,T1592,Gather Victim Host Information,['reconnaissance'],['PRE'],,,0,Volt Typhoon,intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,1,,,0,1,1
attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,T1596.003,Digital Certificates,['reconnaissance'],['PRE'],,,0,,,0,,,0,1,0
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,"['collection', 'credential-access']","['Windows', 'macOS', 'Linux', 'Network']",Empire;EvilGrab;XAgentOSX;Prikormka;Fysbis;Micropsia;Derusbi;PowerLess;ADVSTORESHELL;Metamorfo;MgBot;MoonWind;WarzoneRAT;jRAT;Duqu;Peppy;NetTraveler;QuasarRAT;Imminent Monitor;Catchamas;Dtrack;Cobalt Strike;OwaAuth;Bandook;DUSTTRAP;Remsec;Matryoshka;FlawedAmmyy;PowerSploit;Revenge RAT;Cadelspy;RTM;MarkiRAT;PoisonIvy;Cardinal RAT;ThiefQuest;Regin;PlugX;ROKRAT;BADNEWS;VERMIN;SLOTHFULMEDIA;BabyShark;SMOKEDHAM;Helminth;CosmicDuke;Astaroth;Grandoreiro;Pupy;Carbanak;JPIN;Trojan.Karagany;DarkTortilla;Kivars;Sykipot;FunnyDream;DarkGate;DOGCALL;InvisiMole;Explosive;RunningRAT;Remexi;PcShare;BadPatch;PoshC2;Cuba;RCSession;Mispadu;KeyBoy;Lokibot;AppleSeed;DustySky;Crimson;yty;Machete;HTTPBrowser;Attor;gh0st RAT;FakeM;NETWIRE;MacMa;BlackEnergy;ECCENTRICBANDWAGON;Cobian RAT;Agent Tesla;SslMM;njRAT;NanoCore;Proton;Clambling;CHIMNEYSWEEP;NavRAT;CHOPSTICK;NightClub;TajMahal;Unknown Logger;ZxShell;SILENTTRINITY;MacSpy;KONNI;Kasidet;metaMain;KGH_SPY;Rover;PoetRAT;AsyncRAT;GreyEnergy;Daserf;QakBot;Remcos;DarkWatchman;Zeus Panda;BISCUIT;DarkComet;Okrum;TinyZBot,tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3;malware--2f1a9fd0-3b7c-4d77-a358-78db13adbe78;malware--59a97b15-8189-4d51-9404-e1ce8ea4a069;malware--37cc7eb6-12e3-467b-82e8-f20f2cc73c69;malware--50d6688b-0985-4f3d-8cbe-0c796b30703b;malware--8c050cea-86e1-4b63-bf21-7af4fa483349;malware--94379dec-5c87-49db-b36e-66abc0b81344;malware--35ee9bf3-264b-4411-8a8f-b58cec8f35e4;malware--fb575479-14ef-41e9-bfab-0b7cf10bec73;malware--81c57a96-fc8c-4f91-af8e-63e24c2927c2;malware--a36eedea-9523-4abb-96e8-205f171ee763;malware--9ea525fa-b0a9-4dde-84f2-bcea0137b3c1;malware--fde19a18-e502-467f-be14-58c71b4e7f4b;malware--efece7e8-e40b-49c2-9f84-c55c5c93d05c;malware--68dca94f-c11d-421e-9287-7c501108e18c;malware--6c2550d5-a01a-4bbb-a004-6ead348ba623;malware--cafd0bf8-2b9c-46c7-ae3c-3e0f42c5062e;tool--da04ac30-27da-4959-a67d-450ce47d9470;tool--8f8cd191-902c-4e83-bf20-b57c8c4640e9;malware--8d9e758b-735f-4cbc-ba7c-32cd15138b2a;malware--f8774023-8021-4ece-9aca-383ac89d2759;malware--a7881f21-e978-4fe4-af56-92c9416a2616;malware--a60657fa-e2e7-4f8f-8128-a882534ae8c5;malware--835a79f1-842d-472d-b8f4-d54b545c341b;malware--33139388-de0c-49ff-862a-041c315b142d;malware--69d6f4a9-fcf0-4f51-bca7-597c51ad0bb8;malware--1cc934e4-b01d-4543-a011-b988dfc1a458;malware--432555de-63bf-4f2a-a3fa-f720a4561078;tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d;malware--bdb27a1d-1844-42f1-a0c0-826027ae0326;malware--a705b085-1eae-455e-8f4d-842483d814eb;malware--92ec0cbd-2c30-44a2-b270-73f4ec949841;malware--532c6004-b1e8-415b-9516-f7c14ba783b1;malware--b42378e0-f147-496f-992a-26a49705395b;malware--b879758f-bbc4-4cab-b5ba-177ac9b009b4;malware--727afb95-3d0f-4451-b297-362a43909923;malware--4c59cce8-cb48-4141-b9f1-f646edfaadb0;malware--64fa0de0-6240-41f4-8638-f4ca7ed528fd;malware--60a9c2f0-b7a5-4e8e-959c-e1a3ff314a5f;malware--e9595678-d269-469e-ae6b-75e49259de63;malware--5189f018-fea2-45d7-b0ed-23f9ee0a46f3;malware--feb2d7bb-aacb-48df-ad04-ccf41a30cd90;malware--d1b7830a-fced-4be3-a99c-f495af9d9e1b;malware--7e0f8b0f-716e-494d-827e-310bd6ed709e;malware--eff1a885-6f90-42a1-901f-eef6e7a1905e;malware--2eb9b131-d333-4a48-9eb4-d8dec46c19ee;malware--edb24a93-1f7a-4bbf-a738-1397a14662c6;malware--958b5d06-8bb0-4c5b-a2e7-0130fe654ac7;tool--cb69b20d-56d0-41ab-8440-4a4b251614d4;malware--72f54d66-675d-4587-9bd3-4ed09f9522e4;malware--de6cb631-52f6-4169-a73b-7965390b0c30;malware--82cb34ba-02b5-432b-b2d2-07f55cbf674d;malware--5faaf81a-aa5b-4a4b-bae5-522439e068f8;malware--b2d134a1-7bd5-4293-94d4-8fc978cb1cd7;malware--6a0ef5d4-fc7c-4dda-85d7-592e4dbdc5d9;malware--be25c1c0-1590-4219-a3d5-6f31799d1d1b;malware--6f6f67c9-556d-4459-95c2-78d272190e52;malware--0852567d-7958-4f4b-8947-4f840ec8d57d;malware--47afe41c-4c08-485e-b062-c3bd209a1cce;malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44;malware--60d50676-459a-47dd-92e9-a827a9fe9c58;malware--ecc2f65a-b452-4eaf-9689-7e181f17f7a5;tool--3a53b207-aba2-4a2b-9cdb-273d633669e7;malware--9af05de0-bc09-4511-a350-5eb8b06185c1;tool--4b57c098-f043-4da2-83ef-7588a6d426bc;malware--6cd07296-14aa-403d-9229-6343d03d4752;malware--03acae53-9b98-46f6-b204-16b930839055;malware--4e6464d2-69df-4e56-8d4c-1973f84d7b80;malware--5dd649c0-bca4-488b-bd85-b180474ec62e;malware--cb741463-f0fe-42e0-8d45-bc7e8335f5ae;malware--295721d2-ee20-4fa3-ade3-37f4146b4570;malware--687c23e4-4e25-4ee7-a870-c5e002511f54;malware--326af1cd-78e7-45b7-a326-125d2f7ef8f2;malware--0817aaf2-afea-4c32-9285-4dcd1df5bf14;malware--35cd1d01-1ede-44d2-b073-a264d727bc04;malware--e066bf86-9cfb-407a-9d25-26fd5d91e360;malware--8f423bd7-6ca7-4303-9e85-008c7ad5fdaa;malware--88c621a7-aef9-4ae0-94e3-1fc87123eb24;malware--bb3c1098-d654-4620-bf40-694386d28921;malware--2a70812b-f1ef-44db-8578-a496a227aef2;malware--bdee9574-7479-4073-a7dc-e86d8acd073a;malware--54cc1d4f-5c53-4f0e-9ef5-11b4998e82e4;malware--e928333f-f3df-4039-9b8b-556c2add0e42;malware--aa1462a1-d065-416c-b354-bedd04998c7f;malware--e7a5229f-05eb-440e-b982-9a6d2b2b87c8;malware--2fb26586-2b53-4b9a-ad4f-2b3bcb9a2421;malware--d906e6f7-434c-44c0-b51a-ed50af8f7945;malware--b4d80f8b-d2b9-4448-8844-4bef777ed676;malware--c541efb4-e7b1-4ad6-9da8-b4e113f5dd42;malware--6e95feb1-78ee-48d3-b421-4d76663b5c49;malware--542e3384-341a-455b-bb48-4917b25e3b00;malware--53a42597-1974-4b8e-84fd-3675e8992053;malware--ccd61dfc-b03f-4689-8c18-7c97eab08472;malware--91c57ed3-7c32-4c68-b388-7db00cb8dac6;malware--b51797f7-57da-4210-b8ac-b8632ee75d70;malware--ab3580c8-8435-4117-aace-3d9fbe46aa56;malware--cfc75b0d-e579-40ae-ad07-a1ce00d49a6c;tool--1244e058-fa10-48cb-b484-0bcf671107ae;malware--f72251cb-2be5-421f-a081-99c29a1209e7;malware--86b92f6c-9c05-4c51-b361-4c7bb13e21a1;malware--26fed817-e7bf-41f9-829a-9075ffac45c2;malware--df350889-4de9-44e5-8cb3-888b8343e97c;malware--8bdfe255-e658-4ddd-a11c-b854762e451d;malware--6b616fc1-1505-48e3-8b2c-0d19337bff38;malware--cc5497f7-a9e8-436f-94da-b2b4a9b9ad3c;tool--6a5947f3-1a36-4653-8734-526df3e1d28d;malware--308b3d68-a084-4dfb-885a-3125e1a9c1e8;malware--b6b3dfc7-9a81-43ff-ac04-698bad48973a;malware--edc5e045-5401-42bb-ad92-52b5b2ee0de9;tool--7cd0bc75-055b-4098-a00e-83dc8beaff14;malware--63686509-069b-4143-99ea-4e59cad6cb2a;malware--198db886-47af-4f4c-bff5-11b891f85946;malware--b8eb28e4-48a6-40ae-951a-328714f75eda;malware--53ab35c2-d00e-491a-8753-41d35ae7e547;malware--4b6ec280-7bbb-48ff-ae59-b189520ebe83;malware--c0c45d38-fe57-4cd4-b2b2-9ecd0ddd4ca9,116,APT38;Magic Hound;APT39;APT28;Ajax Security Team;Volt Typhoon;Darkhotel;Threat Group-3390;Lazarus Group;Group5;Tonto Team;APT5;menuPass;Sowbug;Kimsuky;OilRig;PLATINUM;FIN4;Sandworm Team;FIN13;APT3;Ke3chang;APT41;HEXANE;APT32,intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340;intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13;intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80;intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c;intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7;intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2;intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383;intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c;intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a;intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40;intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960;intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9;intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f;intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e;intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f;intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d;intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694;intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6;intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192;intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4;intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9;intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c;intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7;intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3;intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,25,Operation Wocao;2015 Ukraine Electric Power Attack;Cutting Edge,campaign--b03d5112-e23a-4ac8-add0-be7502d24eff;campaign--46421788-b6e1-4256-b351-f8beffd1afba;campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,3,0,3
attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,T1564.012,File/Path Exclusions,['defense-evasion'],"['Linux', 'macOS', 'Windows']",,,0,Turla,intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,1,,,0,2,1
attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,T1222.002,Linux and Mac File and Directory Permissions Modification,['defense-evasion'],"['macOS', 'Linux']",OSX_OCEANLOTUS.D;P.A.S. Webshell;COATHANGER;Black Basta;OSX/Shlayer;Kinsing;Penquin;XCSSET;Dok;Bundlore,malware--b00f90b6-c75c-4bfd-b813-ca9e6c9ebf29;malware--4800d0f9-00aa-47cd-a4d2-92198585b8fd;malware--0c242cc5-58d3-4fe3-a866-b00a4b6fb817;malware--8d242fb4-9033-4f13-8a88-4b9b4bcd9a53;malware--f1314e75-ada8-49f4-b281-b1fb8b48f2a7;malware--d6e55656-e43f-411f-a7af-45df650471c5;malware--d18cb958-f4ad-4fb3-bb4f-e8994d206550;malware--e14085cb-0e8d-4be6-92ba-e3b93ee5978f;malware--f36b2598-515f-4345-84e5-5ccde253edbe;malware--7bef1b56-4870-4e74-b32a-7dd88c390c44,10,TeamTNT;APT32;Rocke,intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca;intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e;intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,3,KV Botnet Activity,campaign--0c259854-4044-4f6c-ac49-118d484b3e3b,1,2,3
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,T1110.001,Password Guessing,['credential-access'],"['Windows', 'SaaS', 'IaaS', 'Linux', 'macOS', 'Containers', 'Network', 'Office Suite', 'Identity Provider']",China Chopper;Emotet;SpeakUp;HermeticWizard;CrackMapExec;Lucifer;P.A.S. Webshell;Xbash;Pony,malware--5a3a31fe-5a8f-48e1-bff0-a753e5b1be70;malware--32066e94-3112-48ca-b9eb-ba2b59d2f023;malware--a5575606-9b85-4e3d-9cd2-40ef30e3672d;malware--ff7ed9c1-dca3-4e62-9da6-72c5d388b8fa;tool--c4810609-7da6-48ec-8057-1b70a7814db0;malware--54a73038-1937-4d71-a253-316e76d5413c;malware--4800d0f9-00aa-47cd-a4d2-92198585b8fd;malware--6a92d80f-cc65-45f6-aa66-3cdea6786b3c;malware--222ba512-32d9-49ac-aefd-50ce981ce2ce,9,APT28;APT29,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c;intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,2,,,0,4,2
attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,T1216.001,PubPrn,['defense-evasion'],['Windows'],,,0,APT32,intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,1,,,0,2,3
attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f,T1597.002,Purchase Technical Data,['reconnaissance'],['PRE'],,,0,LAPSUS$,intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,1,,,0,1,0
attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,T1003,OS Credential Dumping,['credential-access'],"['Windows', 'Linux', 'macOS']",Carbanak;PinchDuke;MgBot;Revenge RAT;OnionDuke;HOMEFRY;Trojan.Karagany,malware--72f54d66-675d-4587-9bd3-4ed09f9522e4;malware--ae9d818d-95d0-41da-b045-9cabea1ca164;malware--a36eedea-9523-4abb-96e8-205f171ee763;malware--bdb27a1d-1844-42f1-a0c0-826027ae0326;malware--b136d088-a829-432c-ac26-5529c26d4c7e;malware--7451bcf9-e6e6-4a70-bc3d-1599173d0035;malware--82cb34ba-02b5-432b-b2d2-07f55cbf674d,7,APT39;Ember Bear;Poseidon Group;APT32;Tonto Team;Suckfly;Leviathan;Axiom;APT28;Sowbug,intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80;intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9;intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446;intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e;intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960;intrusion-set--5cbe0d3b-6fb1-471f-b591-4b192915116d;intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e;intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973;intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c;intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,10,,,0,9,10
